Genre,Reports,Age,Gpa,Year,NewText,Nationality_Egypt,Nationality_France,Nationality_Indonesia,Nationality_Mexico,Nationality_Soudan,Nationality_South Africa,Nationality_Yemen,Gender_F,Gender_M
Academic Support and Resources, I am very concerned about the lack of diversity in this course. We are not getting a well-rounded education.,19,2.09,2,"['concerned', 'lack', 'diversity', 'course', 'getting', 'well', 'rounded', 'education']",1,0,0,0,0,0,0,1,0
Academic Support and Resources, The professor for this course is biased and it's affecting my grade. They seem to have favorites and it's not fair.,18,1.73,2,"['professor', 'course', 'biased', 'affecting', 'grade', 'seem', 'favorite', 'fair']",1,0,0,0,0,0,0,1,0
Academic Support and Resources, The workload for this course is overwhelming. I don't have enough time to complete everything and it's affecting my other classes.,27,0.81,2,"['workload', 'course', 'overwhelming', 'enough', 'time', 'complete', 'everything', 'affecting', 'class']",1,0,0,0,0,0,0,1,0
Academic Support and Resources, I wish there were more opportunities for extra credit in this course. It would help my grade and encourage me to learn more.,26,2.68,2,"['wish', 'opportunity', 'extra', 'credit', 'course', 'would', 'help', 'grade', 'encourage', 'learn']",1,0,0,0,0,0,0,1,0
Academic Support and Resources, The professor for this course is not approachable. I am scared to ask them for help and it's hindering my success.,27,3.12,2,"['professor', 'course', 'approachable', 'scared', 'ask', 'help', 'hindering', 'success']",1,0,0,0,0,0,0,1,0
Academic Support and Resources, The course fees are too high for what we're getting. We're not getting our money's worth.,21,1.55,2,"['course', 'fee', 'high', 'getting', 'getting', 'money', 'worth']",1,0,0,0,0,0,0,1,0
Academic Support and Resources, The grading system for this course is too subjective. It's hard to know what the professor wants and it's affecting my grade.,25,3.12,2,"['grading', 'system', 'course', 'subjective', 'hard', 'know', 'professor', 'want', 'affecting', 'grade']",1,0,0,0,0,0,0,1,0
Academic Support and Resources, The professor for this course is disinterested and it shows in their lectures. I am not learning anything and it's frustrating.,18,3.14,2,"['professor', 'course', 'disinterested', 'show', 'lecture', 'learning', 'anything', 'frustrating']",1,0,0,0,0,0,0,1,0
Academic Support and Resources, The textbook for this course is full of errors and mistakes. It's hard to learn from something that's not accurate.,19,1.7,2,"['textbook', 'course', 'full', 'error', 'mistake', 'hard', 'learn', 'something', 'accurate']",1,0,0,0,0,0,0,1,0
Academic Support and Resources, I am concerned about the lack of academic rigor in this course. We,16,1.68,2,"['concerned', 'lack', 'academic', 'rigor', 'course']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited access to technology and software is hindering my ability to do my coursework. I can't afford to buy expensive programs on my own.,24,1.77,2,"['limited', 'access', 'technology', 'software', 'hindering', 'ability', 'coursework', 'afford', 'buy', 'expensive', 'program']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,I'm trying to graduate early but there are only a few courses available that I need to take. It's frustrating that my options are so limited.,24,3.74,2,"['trying', 'graduate', 'early', 'course', 'available', 'need', 'take', 'frustrating', 'option', 'limited']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,The online system for accessing course materials is always down or glitchy. It's hard to get work done when I can't even access my assignments.,16,2.18,2,"['online', 'system', 'accessing', 'course', 'material', 'always', 'glitchy', 'hard', 'get', 'work', 'done', 'even', 'access', 'assignment']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,I wish there were more opportunities to access research databases and materials outside of the library. It would be nice to have more options and flexibility.,24,1.74,2,"['wish', 'opportunity', 'access', 'research', 'database', 'material', 'outside', 'library', 'would', 'nice', 'option', 'flexibility']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,It's really difficult to find the course materials I need for my classes because they're spread out across so many different resources. I wish there was a more streamlined system.,18,0.55,2,"['really', 'difficult', 'find', 'course', 'material', 'need', 'class', 'spread', 'across', 'many', 'different', 'resource', 'wish', 'streamlined', 'system']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,The lack of available courses is making it hard for me to fulfill all of my degree requirements. I'm worried I won't be able to graduate on time.,22,1.76,2,"['lack', 'available', 'course', 'making', 'hard', 'fulfill', 'degree', 'requirement', 'worried', 'able', 'graduate', 'time']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,"I'm having trouble with a particular software program for one of my classes, but there's no one available to help me troubleshoot. It's frustrating to feel like I'm on my own.",21,1.4,2,"['trouble', 'particular', 'software', 'program', 'one', 'class', 'one', 'available', 'help', 'troubleshoot', 'frustrating', 'feel', 'like']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited access to research databases and materials is especially frustrating when I'm trying to write a thesis or do original research. It feels like I'm hitting a wall.,24,1.69,2,"['limited', 'access', 'research', 'database', 'material', 'especially', 'frustrating', 'trying', 'write', 'thesis', 'original', 'research', 'feel', 'like', 'hitting', 'wall']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,I'm an international student and I'm having trouble accessing some of the online resources because of regional restrictions. It's frustrating to feel like I'm missing out because of where I'm from.,26,2.27,2,"['international', 'student', 'trouble', 'accessing', 'online', 'resource', 'regional', 'restriction', 'frustrating', 'feel', 'like', 'missing']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,I'm a transfer student and I feel like I'm at a disadvantage because I don't have access to all of the same resources and databases as students who started at this university.,22,3.78,2,"['transfer', 'student', 'feel', 'like', 'disadvantage', 'access', 'resource', 'database', 'student', 'started', 'university']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,I'm a student with a disability and I'm having trouble accessing the technology and software I need to do my coursework. It's frustrating to feel like my needs aren't being accommodated.,26,3.06,2,"['student', 'disability', 'trouble', 'accessing', 'technology', 'software', 'need', 'coursework', 'frustrating', 'feel', 'like', 'need', 'accommodated']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,It's frustrating to have limited access to academic advisors because they're the ones who can help me plan my degree and make sure I'm on track to graduate.,16,3.53,2,"['frustrating', 'limited', 'access', 'academic', 'advisor', 'one', 'help', 'plan', 'degree', 'make', 'sure', 'track', 'graduate']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,I wish there were more options for accessing course materials online so that I don't have to physically go to the library or bookstore every time I need something.,17,2.85,2,"['wish', 'option', 'accessing', 'course', 'material', 'online', 'physically', 'go', 'library', 'bookstore', 'every', 'time', 'need', 'something']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,It's hard to do group projects when we have limited access to technology and software. It puts us at a disadvantage compared to other groups.,27,1.16,2,"['hard', 'group', 'project', 'limited', 'access', 'technology', 'software', 'put', 'disadvantage', 'compared', 'group']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,I'm having trouble accessing research databases and materials because the library hours are limited and they're often closed when I have time to study.,17,1.91,2,"['trouble', 'accessing', 'research', 'database', 'material', 'library', 'hour', 'limited', 'often', 'closed', 'time', 'study']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited access to research databases and materials makes it hard to stay up-to-date with the latest developments in my field of study. It feels like I'm falling behind.,16,1.08,2,"['limited', 'access', 'research', 'database', 'material', 'make', 'hard', 'stay', 'date', 'latest', 'development', 'field', 'study', 'feel', 'like', 'falling', 'behind']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited access to technology and software is making it hard to keep up with the pace of coursework. It feels like I'm constantly playing catch-up.,26,2.6,2,"['limited', 'access', 'technology', 'software', 'making', 'hard', 'keep', 'pace', 'coursework', 'feel', 'like', 'constantly', 'playing', 'catch']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,The lack of available courses is making it hard to take electives that interest me. I feel like my academic options are too limited.,18,3.75,2,"['lack', 'available', 'course', 'making', 'hard', 'take', 'elective', 'interest', 'feel', 'like', 'academic', 'option', 'limited']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited access to academic advisors is making me feel like I'm on my own when it comes to making important academic decisions.,18,2.18,2,"['limited', 'access', 'academic', 'advisor', 'making', 'feel', 'like', 'come', 'making', 'important', 'academic', 'decision']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,It's frustrating that we have such limited access to academic advisors. It makes it difficult to plan our academic careers and get the guidance we need.,21,0.29,2,"['frustrating', 'limited', 'access', 'academic', 'advisor', 'make', 'difficult', 'plan', 'academic', 'career', 'get', 'guidance', 'need']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,I'm really struggling with finding and accessing course materials. It's making it hard to keep up with the coursework.,26,0.95,2,"['really', 'struggling', 'finding', 'accessing', 'course', 'material', 'making', 'hard', 'keep', 'coursework']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,I wish there was more course availability. It's frustrating to have limited options for classes and not be able to take what we need.,27,0.93,2,"['wish', 'course', 'availability', 'frustrating', 'limited', 'option', 'class', 'able', 'take', 'need']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited access to technology and software is a major issue. It's hindering our ability to complete assignments and keep up with the demands of our courses.,27,0.52,2,"['limited', 'access', 'technology', 'software', 'major', 'issue', 'hindering', 'ability', 'complete', 'assignment', 'keep', 'demand', 'course']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,The limited access to research databases and materials is a huge problem. It makes it difficult to complete research assignments and write papers.,17,3.27,2,"['limited', 'access', 'research', 'database', 'material', 'huge', 'problem', 'make', 'difficult', 'complete', 'research', 'assignment', 'write', 'paper']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,It's really frustrating that we don't have better access to academic advisors. It's causing a lot of stress and anxiety.,26,3.2,2,"['really', 'frustrating', 'better', 'access', 'academic', 'advisor', 'causing', 'lot', 'stress', 'anxiety']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,The difficulty in finding and accessing course materials is making it hard to succeed in our classes.,25,1.38,2,"['difficulty', 'finding', 'accessing', 'course', 'material', 'making', 'hard', 'succeed', 'class']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited course availability is a huge problem for students. We need more options for classes to be able to meet our academic goals.,25,2.27,2,"['limited', 'course', 'availability', 'huge', 'problem', 'student', 'need', 'option', 'class', 'able', 'meet', 'academic', 'goal']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited access to technology and software is preventing us from being able to complete assignments on time and to the best of our ability.,27,0.57,2,"['limited', 'access', 'technology', 'software', 'preventing', 'able', 'complete', 'assignment', 'time', 'best', 'ability']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,It's really frustrating to have limited access to research databases and materials. It's making it hard to complete research assignments and write papers.,16,1.12,2,"['really', 'frustrating', 'limited', 'access', 'research', 'database', 'material', 'making', 'hard', 'complete', 'research', 'assignment', 'write', 'paper']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,I feel like I'm not getting the support I need from academic advisors. Limited access to them is making it difficult to plan my academic career.,17,1.67,2,"['feel', 'like', 'getting', 'support', 'need', 'academic', 'advisor', 'limited', 'access', 'making', 'difficult', 'plan', 'academic', 'career']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,The difficulty in finding and accessing course materials is a major source of stress for students. It's important that we have access to what we need to succeed.,18,1.35,2,"['difficulty', 'finding', 'accessing', 'course', 'material', 'major', 'source', 'stress', 'student', 'important', 'access', 'need', 'succeed']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited course availability is a major issue for students. We need more options to be able to take the classes we need.,21,0.36,2,"['limited', 'course', 'availability', 'major', 'issue', 'student', 'need', 'option', 'able', 'take', 'class', 'need']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited access to technology and software is a major problem. It's impacting our ability to succeed in our courses and prepare for the workforce.,16,3.49,2,"['limited', 'access', 'technology', 'software', 'major', 'problem', 'impacting', 'ability', 'succeed', 'course', 'prepare', 'workforce']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,The limited access to research databases and materials is causing a lot of frustration among students. We need better access to be able to succeed academically.,19,0.3,2,"['limited', 'access', 'research', 'database', 'material', 'causing', 'lot', 'frustration', 'among', 'student', 'need', 'better', 'access', 'able', 'succeed', 'academically']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,It's really hard to succeed academically when we have limited access to academic advisors. We need more support.,17,2.8,2,"['really', 'hard', 'succeed', 'academically', 'limited', 'access', 'academic', 'advisor', 'need', 'support']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,The difficulty in finding and accessing course materials is a barrier to success for many students. It's important that we have access to what we need to succeed.,18,3.49,2,"['difficulty', 'finding', 'accessing', 'course', 'material', 'barrier', 'success', 'many', 'student', 'important', 'access', 'need', 'succeed']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited course availability is causing a lot of stress for students. We need more options to be able to take the classes we need.,16,3.83,2,"['limited', 'course', 'availability', 'causing', 'lot', 'stress', 'student', 'need', 'option', 'able', 'take', 'class', 'need']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited access to technology and software is making it difficult to complete assignments and prepare for the workforce. It's a major issue for students.,24,1.94,2,"['limited', 'access', 'technology', 'software', 'making', 'difficult', 'complete', 'assignment', 'prepare', 'workforce', 'major', 'issue', 'student']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,The limited access to research databases and materials is making it hard to complete assignments and write papers. We need better access.,23,2.28,2,"['limited', 'access', 'research', 'database', 'material', 'making', 'hard', 'complete', 'assignment', 'write', 'paper', 'need', 'better', 'access']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,It's really frustrating to not have more access to academic advisors. It's important that we have support to be able to plan our academic careers.,26,0.09,2,"['really', 'frustrating', 'access', 'academic', 'advisor', 'important', 'support', 'able', 'plan', 'academic', 'career']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,The difficulty in finding and accessing course materials is a major issue. It's important that we have access to what we need to succeed academically.,21,2.48,1,"['difficulty', 'finding', 'accessing', 'course', 'material', 'major', 'issue', 'important', 'access', 'need', 'succeed', 'academically']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited course availability is impacting our ability to graduate on time and meet our academic goals. We need more options.,16,1.19,1,"['limited', 'course', 'availability', 'impacting', 'ability', 'graduate', 'time', 'meet', 'academic', 'goal', 'need', 'option']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited access to technology and software is a major issue for students. It's important that we have access to the tools we need to succeed academically and in the workforce.,21,1.15,1,"['limited', 'access', 'technology', 'software', 'major', 'issue', 'student', 'important', 'access', 'tool', 'need', 'succeed', 'academically', 'workforce']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,The limited access to research databases and materials is causing a lot of frustration for students. It's important that we have better access to complete our coursework.,24,2.98,1,"['limited', 'access', 'research', 'database', 'material', 'causing', 'lot', 'frustration', 'student', 'important', 'better', 'access', 'complete', 'coursework']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,"Academic advisors are so important, but the limited access to them is making it difficult to plan our academic careers and succeed.",24,2.66,1,"['academic', 'advisor', 'important', 'limited', 'access', 'making', 'difficult', 'plan', 'academic', 'career', 'succeed']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,The difficulty in finding and accessing course materials is causing a lot of stress for students.,18,3.03,1,"['difficulty', 'finding', 'accessing', 'course', 'material', 'causing', 'lot', 'stress', 'student']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,It's frustrating not being able to find the resources I need for my research projects due to the limited access to research databases and materials.,23,1.17,1,"['frustrating', 'able', 'find', 'resource', 'need', 'research', 'project', 'due', 'limited', 'access', 'research', 'database', 'material']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited course availability is making it difficult to schedule my classes for next semester.,19,1.09,1,"['limited', 'course', 'availability', 'making', 'difficult', 'schedule', 'class', 'next', 'semester']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,The difficulty in finding and accessing course materials is really hindering my ability to study effectively.,17,0.7,1,"['difficulty', 'finding', 'accessing', 'course', 'material', 'really', 'hindering', 'ability', 'study', 'effectively']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,"The lack of access to academic advisors is really concerning, especially when I have questions about course selection and career planning.",26,0.44,1,"['lack', 'access', 'academic', 'advisor', 'really', 'concerning', 'especially', 'question', 'course', 'selection', 'career', 'planning']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited access to technology and software is making it difficult to complete assignments and stay up to date with my coursework.,24,0.69,1,"['limited', 'access', 'technology', 'software', 'making', 'difficult', 'complete', 'assignment', 'stay', 'date', 'coursework']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,I'm worried that my research projects won't be up to standard due to the limited access to research databases and materials.,21,1.4,1,"['worried', 'research', 'project', 'standard', 'due', 'limited', 'access', 'research', 'database', 'material']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited course availability is making it impossible to complete my degree requirements on time.,20,1.03,1,"['limited', 'course', 'availability', 'making', 'impossible', 'complete', 'degree', 'requirement', 'time']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,I feel like I'm falling behind in my courses due to the difficulty in finding and accessing course materials.,16,3.41,1,"['feel', 'like', 'falling', 'behind', 'course', 'due', 'difficulty', 'finding', 'accessing', 'course', 'material']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,"The lack of access to academic advisors is really frustrating, especially when I need help with scheduling or resolving academic issues.",19,1.5,1,"['lack', 'access', 'academic', 'advisor', 'really', 'frustrating', 'especially', 'need', 'help', 'scheduling', 'resolving', 'academic', 'issue']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited access to technology and software is impacting my ability to compete with my peers and prepare for my future career.,18,0.03,1,"['limited', 'access', 'technology', 'software', 'impacting', 'ability', 'compete', 'peer', 'prepare', 'future', 'career']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,I'm struggling to find the necessary course materials for my courses due to the limited access available.,18,2.51,1,"['struggling', 'find', 'necessary', 'course', 'material', 'course', 'due', 'limited', 'access', 'available']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,The limited access to academic advisors is making it difficult for me to plan my academic career and get the support I need.,20,3.56,1,"['limited', 'access', 'academic', 'advisor', 'making', 'difficult', 'plan', 'academic', 'career', 'get', 'support', 'need']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited course availability is causing me to have to adjust my academic plans and career aspirations.,27,2.23,1,"['limited', 'course', 'availability', 'causing', 'adjust', 'academic', 'plan', 'career', 'aspiration']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited access to technology and software is causing me to fall behind in my coursework and struggle with assignments.,19,0.93,1,"['limited', 'access', 'technology', 'software', 'causing', 'fall', 'behind', 'coursework', 'struggle', 'assignment']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,I'm worried about the quality of my research projects due to the limited access to research databases and materials.,17,2.33,1,"['worried', 'quality', 'research', 'project', 'due', 'limited', 'access', 'research', 'database', 'material']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,The difficulty in finding and accessing course materials is causing me to spend unnecessary time and resources trying to complete assignments.,16,2.46,1,"['difficulty', 'finding', 'accessing', 'course', 'material', 'causing', 'spend', 'unnecessary', 'time', 'resource', 'trying', 'complete', 'assignment']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,Limited access to academic advisors is causing me to feel unsupported and disconnected from my academic goals.,17,0.37,1,"['limited', 'access', 'academic', 'advisor', 'causing', 'feel', 'unsupported', 'disconnected', 'academic', 'goal']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,Limited course availability is causing me to miss out on valuable academic opportunities and experiences.,27,2.57,1,"['limited', 'course', 'availability', 'causing', 'miss', 'valuable', 'academic', 'opportunity', 'experience']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,The limited access to technology and software is causing me to have to use outdated tools and resources for my coursework.,18,2.36,1,"['limited', 'access', 'technology', 'software', 'causing', 'use', 'outdated', 'tool', 'resource', 'coursework']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I feel like I'm not able to reach my full academic potential due to the limited access to research databases and materials.,21,2.64,1,"['feel', 'like', 'able', 'reach', 'full', 'academic', 'potential', 'due', 'limited', 'access', 'research', 'database', 'material']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,The difficulty in finding and accessing course materials is causing me to feel stressed and overwhelmed with my coursework.,26,0.43,1,"['difficulty', 'finding', 'accessing', 'course', 'material', 'causing', 'feel', 'stressed', 'overwhelmed', 'coursework']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,Limited access to academic advisors is causing me to feel lost and unsupported in my academic journey.,17,1.6,1,"['limited', 'access', 'academic', 'advisor', 'causing', 'feel', 'lost', 'unsupported', 'academic', 'journey']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I'm concerned that my academic achievements and career prospects will be impacted by the limited course availability.,23,2.41,1,"['concerned', 'academic', 'achievement', 'career', 'prospect', 'impacted', 'limited', 'course', 'availability']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,The limited access to technology and software is causing me to feel unprepared for the demands of the modern workforce.,20,3.87,1,"['limited', 'access', 'technology', 'software', 'causing', 'feel', 'unprepared', 'demand', 'modern', 'workforce']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,The limited access to research databases and materials is making it difficult to produce high-quality research projects and assignments.,24,2.14,1,"['limited', 'access', 'research', 'database', 'material', 'making', 'difficult', 'produce', 'high', 'quality', 'research', 'project', 'assignment']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I'm struggling to keep up with my coursework due to the difficulty in finding and accessing course materials.,27,1.31,1,"['struggling', 'keep', 'coursework', 'due', 'difficulty', 'finding', 'accessing', 'course', 'material']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited access to academic advisors is causing me to feel like I'm not receiving the guidance I need to succeed academically.,18,3.07,1,"['limited', 'access', 'academic', 'advisor', 'causing', 'feel', 'like', 'receiving', 'guidance', 'need', 'succeed', 'academically']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,Limited course availability is causing me to have to change my academic plans and goals.,20,2.21,1,"['limited', 'course', 'availability', 'causing', 'change', 'academic', 'plan', 'goal']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,The limited access to technology and software is causing me to feel like I'm not developing the skills I need to succeed in my future career.,21,1.64,1,"['limited', 'access', 'technology', 'software', 'causing', 'feel', 'like', 'developing', 'skill', 'need', 'succeed', 'future', 'career']",1,0,0,0,0,0,0,1,0
